EK,UK,UUK,Kennzeichen,Klassendefinition,Klassenname,Beispiele,Target
M,ML,MLC,MLC,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in Luftgebläsen,Windturbine,,Windturbine
M,ML,MLD,MLD,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in fließendem Wasser,Wasserturbine,,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in fließendem Wasser
M,ML,MLD,MLD,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie in fließendem Wasser,Wasserturbine,,Wasserturbine
M,ML,MLE,MLE,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie und Reaktionskraft in strömenden und/oder sich ausdehnenden Gasen,Gasturbine,,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie und Reaktionskraft in strömenden und/oder sich ausdehnenden Gasen
M,ML,MLE,MLE,Durch mechanische Energie angetriebenes Objekt in Form von kinetischer Energie und Reaktionskraft in strömenden und/oder sich ausdehnenden Gasen,Gasturbine,,Gasturbine
M,MM,,MM,"Antriebsobjekt, angetrieben durch Flüssigkeitsverdrängung oder Druck",Flüssigkeitsbetriebenes Objekt,,"Antriebsobjekt, angetrieben durch Flüssigkeitsverdrängung oder Druck"
M,MM,,MM,"Antriebsobjekt, angetrieben durch Flüssigkeitsverdrängung oder Druck",Flüssigkeitsbetriebenes Objekt,,Flüssigkeitsbetriebenes Objekt
M,MM,MMA,MMA,"Flüssigkeitsbetriebenes Objekt, dessen Bewegung einem flüssigen Volumen entspricht",Hydraulikzylinder,,Hydraulikzylinder
M,MM,MMA,MMA,"Flüssigkeitsbetriebenes Objekt, dessen Bewegung einem flüssigen Volumen entspricht",Hydraulikzylinder,,"Flüssigkeitsbetriebenes Objekt, dessen Bewegung einem flüssigen Volumen entspricht"
M,MM,MMB,MMB,Flüssigkeitsbetriebenes Objekt: Bewegung zu Endpositionen abhängig vom Gasdruck,Pneumatikzylinder,,Pneumatikzylinder
M,MM,MMB,MMB,Flüssigkeitsbetriebenes Objekt: Bewegung zu Endpositionen abhängig vom Gasdruck,Pneumatikzylinder,,Flüssigkeitsbetriebenes Objekt: Bewegung zu Endpositionen abhängig vom Gasdruck
M,MM,MMC,MMC,Flüssigkeitsbetriebenes Objekt: Rotation durch eine fließende Flüssigkeit,Hydraulikmotor,,Flüssigkeitsbetriebenes Objekt: Rotation durch eine fließende Flüssigkeit
M,MM,MMC,MMC,Flüssigkeitsbetriebenes Objekt: Rotation durch eine fließende Flüssigkeit,Hydraulikmotor,,Hydraulikmotor
M,MM,MMD,MMD,Flüssigkeitsbetriebenes Objekt zur Erzeugung von Rotation durch komprimiertes Gas,Pneumatikmotor,,Flüssigkeitsbetriebenes Objekt zur Erzeugung von Rotation durch komprimiertes Gas
M,MM,MMD,MMD,Flüssigkeitsbetriebenes Objekt zur Erzeugung von Rotation durch komprimiertes Gas,Pneumatikmotor,,Pneumatikmotor
M,MS,,MS,"Antriebsobjekt, angetrieben durch Verbrennung von Brennstoffen",Verbrennungsmotor,,"Antriebsobjekt, angetrieben durch Verbrennung von Brennstoffen"
M,MS,,MS,"Antriebsobjekt, angetrieben durch Verbrennung von Brennstoffen",Verbrennungsmotor,,Verbrennungsmotor
M,MS,MSA,MSA,"Verbrennungsmotor mit Zylindern und Kolben, die durch Funkenzündung angetrieben werden",Ottomotor,,"Verbrennungsmotor mit Zylindern und Kolben, die durch Funkenzündung angetrieben werden"
M,MS,MSA,MSA,"Verbrennungsmotor mit Zylindern und Kolben, die durch Funkenzündung angetrieben werden",Ottomotor,,Ottomotor
M,MS,MSB,MSB,"Verbrennungsmotor mit Zylindern und Kolben, die durch Verdichtung angetrieben werden",Dieselmotor,,"Verbrennungsmotor mit Zylindern und Kolben, die durch Verdichtung angetrieben werden"
M,MS,MSB,MSB,"Verbrennungsmotor mit Zylindern und Kolben, die durch Verdichtung angetrieben werden",Dieselmotor,,Dieselmotor
M,MS,MSC,MSC,"Verbrennungsmotor in einem kreisförmigen Gehäuse mit exzentrischem Rotationskolben, der durch Funkenzündung angetrieben werden",Wankelmotor,,"Verbrennungsmotor in einem kreisförmigen Gehäuse mit exzentrischem Rotationskolben, der durch Funkenzündung angetrieben werden"
M,MS,MSC,MSC,"Verbrennungsmotor in einem kreisförmigen Gehäuse mit exzentrischem Rotationskolben, der durch Funkenzündung angetrieben werden",Wankelmotor,,Wankelmotor
M,MT,,MT,"Antriebsobjekt, angetrieben durch eine externe Wärmequelle",Wärmemaschine,,Wärmemaschine
M,MT,,MT,"Antriebsobjekt, angetrieben durch eine externe Wärmequelle",Wärmemaschine,,"Antriebsobjekt, angetrieben durch eine externe Wärmequelle"
M,MT,MTA,MTA,"Wärmemaschine, die ausgedehnten Dampf verwendet, der auf einen Kolben wirkt",Dampfmotor,,"Wärmemaschine, die ausgedehnten Dampf verwendet, der auf einen Kolben wirkt"
M,MT,MTA,MTA,"Wärmemaschine, die ausgedehnten Dampf verwendet, der auf einen Kolben wirkt",Dampfmotor,,Dampfmotor
M,MT,MTB,MTB,Wärmemaschine mit zwei Kolben innerhalb eines erwärmten und eines gekühlten Zylinders oder Zylinderteils,Stirling-Motor,,Wärmemaschine mit zwei Kolben innerhalb eines erwärmten und eines gekühlten Zylinders oder Zylinderteils
M,MT,MTB,MTB,Wärmemaschine mit zwei Kolben innerhalb eines erwärmten und eines gekühlten Zylinders oder Zylinderteils,Stirling-Motor,,Stirling-Motor
N,,,N,Objekt zum teilweisen oder vollständigen Abdecken eines anderen Objekts,Abdeckobjekt,,Objekt zum teilweisen oder vollständigen Abdecken eines anderen Objekts
N,,,N,Objekt zum teilweisen oder vollständigen Abdecken eines anderen Objekts,Abdeckobjekt,,Abdeckobjekt
N,NA,,NA,Abdeckungsobjekt durch Füllen einer Öffnung,Füllobjekt,,Abdeckungsobjekt durch Füllen einer Öffnung
N,NA,,NA,Abdeckungsobjekt durch Füllen einer Öffnung,Füllobjekt,,Füllobjekt
N,NA,NAA,NAA,"Füllobjekt, das Lichtdurchlass ermöglicht",Scheibe,,"Füllobjekt, das Lichtdurchlass ermöglicht"
N,NA,NAA,NAA,"Füllobjekt, das Lichtdurchlass ermöglicht",Scheibe,,Scheibe
N,NA,NAB,NAB,"Füllobjekt, das den Durchlass von Licht und Feststoffen verhindert",Panel,,Panel
N,NA,NAB,NAB,"Füllobjekt, das den Durchlass von Licht und Feststoffen verhindert",Panel,,"Füllobjekt, das den Durchlass von Licht und Feststoffen verhindert"
N,NA,NAC,NAC,"Füllobjekt, das Flüssigkeitsdurchlass ermöglicht",Gitter,,"Füllobjekt, das Flüssigkeitsdurchlass ermöglicht"
N,NA,NAC,NAC,"Füllobjekt, das Flüssigkeitsdurchlass ermöglicht",Gitter,,Gitter
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Buchse,"Füllobjekt, das Flüssigkeitsdurchlass verhindert"
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Buchse,Abdichtungsmittel
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Buchse,Buchse
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Mörtel,"Füllobjekt, das Flüssigkeitsdurchlass verhindert"
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Mörtel,Abdichtungsmittel
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Mörtel,Mörtel
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Dichtung,"Füllobjekt, das Flüssigkeitsdurchlass verhindert"
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Dichtung,Abdichtungsmittel
N,NA,NAD,NAD,"Füllobjekt, das Flüssigkeitsdurchlass verhindert",Abdichtungsmittel,Dichtung,Dichtung
N,NB,,NB,Abdeckungsobjekt durch Schließen einer Öffnung,Schließungsobjekt,,Schließungsobjekt
N,NB,,NB,Abdeckungsobjekt durch Schließen einer Öffnung,Schließungsobjekt,,Abdeckungsobjekt durch Schließen einer Öffnung
N,NB,NBA,NBA,Schließungsobjekt für eine Tür,Türflügel,,Schließungsobjekt für eine Tür
N,NB,NBA,NBA,Schließungsobjekt für eine Tür,Türflügel,,Türflügel
N,NB,NBB,NBB,Schließungsobjekt für eine große Tür,Flügel einer großen Tür,,Schließungsobjekt für eine große Tür
N,NB,NBB,NBB,Schließungsobjekt für eine große Tür,Flügel einer großen Tür,,Flügel einer großen Tür
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Kabinentür,Kabinentür
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Kabinentür,Gehäuseklappe
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Kabinentür,Schließungsobjekt in einer Umschließung
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Tankdeckel,Tankdeckel
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Tankdeckel,Gehäuseklappe
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Tankdeckel,Schließungsobjekt in einer Umschließung
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Wartungsklappe,Wartungsklappe
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Wartungsklappe,Gehäuseklappe
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Wartungsklappe,Schließungsobjekt in einer Umschließung
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Schranktür,Schranktür
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Schranktür,Gehäuseklappe
N,NB,NBC,NBC,Schließungsobjekt in einer Umschließung,Gehäuseklappe,Schranktür,Schließungsobjekt in einer Umschließung
N,NB,NBD,NBD,Schließungsobjekt für ein Tor,Torflügel,,Schließungsobjekt für ein Tor
N,NB,NBD,NBD,Schließungsobjekt für ein Tor,Torflügel,,Torflügel
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Gehäusedeckel,Gehäusedeckel
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Gehäusedeckel,Lukenabdeckung
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Gehäusedeckel,Schließungsobjekt für eine Luke
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Blende,Blende
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Blende,Lukenabdeckung
N,NB,NBE,NBE,Schließungsobjekt für eine Luke,Lukenabdeckung,Blende,Schließungsobjekt für eine Luke
N,NC,,NC,Abdeckungsobjekt durch Abschlussstrukturen,Abschlussobjekt,,Abdeckungsobjekt durch Abschlussstrukturen
N,NC,,NC,Abdeckungsobjekt durch Abschlussstrukturen,Abschlussobjekt,,Abschlussobjekt
N,NC,NCA,NCA,Endabschlussobjekt für einen Bürgersteig,Pflaster,,Endabschlussobjekt für einen Bürgersteig
N,NC,NCA,NCA,Endabschlussobjekt für einen Bürgersteig,Pflaster,,Pflaster
N,NC,NCB,NCB,Endabschlussobjekt für eine Wand,Wandabdeckung,,Endabschlussobjekt für eine Wand
N,NC,NCB,NCB,Endabschlussobjekt für eine Wand,Wandabdeckung,,Wandabdeckung
N,NC,NCC,NCC,Endabschlussobjekt für einen Boden,Bodenbelag,,Bodenbelag
N,NC,NCC,NCC,Endabschlussobjekt für einen Boden,Bodenbelag,,Endabschlussobjekt für einen Boden
N,NC,NCD,NCD,Endabschlussobjekt für eine Decke,Deckenschicht,,Endabschlussobjekt für eine Decke
N,NC,NCD,NCD,Endabschlussobjekt für eine Decke,Deckenschicht,,Deckenschicht
N,NC,NCE,NCE,Endabschlussobjekt für ein Dach,Bedachung,,Endabschlussobjekt für ein Dach
N,NC,NCE,NCE,Endabschlussobjekt für ein Dach,Bedachung,,Bedachung
N,NC,NCF,NCF,Endabschlussobjekt für eine Öffnung,Fenstersims,Fensterbrett,Endabschlussobjekt für eine Öffnung
N,NC,NCF,NCF,Endabschlussobjekt für eine Öffnung,Fenstersims,Fensterbrett,Fenstersims
N,NC,NCF,NCF,Endabschlussobjekt für eine Öffnung,Fenstersims,Fensterbrett,Fensterbrett
N,NC,NCG,NCG,Endabschlussobjekt für eine bewachsene Fläche,Pflanzenmatte,Rasenboden,Rasenboden
N,NC,NCG,NCG,Endabschlussobjekt für eine bewachsene Fläche,Pflanzenmatte,Rasenboden,Endabschlussobjekt für eine bewachsene Fläche
N,NC,NCG,NCG,Endabschlussobjekt für eine bewachsene Fläche,Pflanzenmatte,Rasenboden,Pflanzenmatte
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Rumpfverkleidung,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Rumpfverkleidung,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Rumpfverkleidung,Rumpfverkleidung
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugbeplankung,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Cockpitverkleidung,Cockpitverkleidung
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugverkleidung,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugverkleidung,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugverkleidung,Luftfahrzeugverkleidung
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugbeplankung,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Cockpitverkleidung,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Luftfahrzeugbeplankung,Luftfahrzeugbeplankung
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Motorradverkleidung,Motorradverkleidung
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Motorradverkleidung,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Motorradverkleidung,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,unbelastete Rumpfplatte,unbelastete Rumpfplatte
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,unbelastete Rumpfplatte,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,unbelastete Rumpfplatte,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Cockpitverkleidung,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Kraftfahrzeugkarosserieteile,Kraftfahrzeugkarosserieteile
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Kraftfahrzeugkarosserieteile,Oberflächenformobjekt
N,NC,NCH,NCH,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts,Oberflächenformobjekt,Kraftfahrzeugkarosserieteile,Endabschlussobjekt zur Bildung der äußeren Form eines Objekts
N,ND,,ND,Abdeckungsobjekt zum Abschließen eines anderen Objekts,Abschließungsobjekt,,Abdeckungsobjekt zum Abschließen eines anderen Objekts
N,ND,,ND,Abdeckungsobjekt zum Abschließen eines anderen Objekts,Abschließungsobjekt,,Abschließungsobjekt
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Rasenkante,Rasenkante
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Rasenkante,Bordsteinkante
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Rasenkante,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Pflanzenbeetkante,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Pflanzenbeetkante,Bordsteinkante
N,ND,NDA,NDA,Abschließungsobjekt zur Begrenzung der Bürgersteigkante oder eines bewachsenen Bereichs,Bordsteinkante,Pflanzenbeetkante,Pflanzenbeetkante
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Wandoberseite,Abschließungsobjekt zur Begrenzung der Kante einer Wand
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Wandoberseite,Krone
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Wandoberseite,Wandoberseite
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Umbördelung,Abschließungsobjekt zur Begrenzung der Kante einer Wand
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Umbördelung,Krone
N,ND,NDB,NDB,Abschließungsobjekt zur Begrenzung der Kante einer Wand,Krone,Umbördelung,Umbördelung
N,ND,NDC,NDC,Abschließungsobjekt zur Begrenzung der Kante eines Bodens,Zwischenbodenkante,,Abschließungsobjekt zur Begrenzung der Kante eines Bodens
N,ND,NDC,NDC,Abschließungsobjekt zur Begrenzung der Kante eines Bodens,Zwischenbodenkante,,Zwischenbodenkante
N,ND,NDD,NDD,Abschließungsobjekt zur Begrenzung der Kante einer Decke,Deckenkante,,Deckenkante
N,ND,NDD,NDD,Abschließungsobjekt zur Begrenzung der Kante einer Decke,Deckenkante,,Abschließungsobjekt zur Begrenzung der Kante einer Decke
N,ND,NDE,NDE,Abschließungsobjekt zur Begrenzung der Kante eines Dachs,Stirnbrett,Ortgang,Abschließungsobjekt zur Begrenzung der Kante eines Dachs
N,ND,NDE,NDE,Abschließungsobjekt zur Begrenzung der Kante eines Dachs,Stirnbrett,Ortgang,Stirnbrett
N,ND,NDE,NDE,Abschließungsobjekt zur Begrenzung der Kante eines Dachs,Stirnbrett,Ortgang,Ortgang
N,NE,,NE,Abdeckungsobjekt zum Verdecken von Fugen und Übergängen,Verdeckungsobjekt,,Abdeckungsobjekt zum Verdecken von Fugen und Übergängen
N,NE,,NE,Abdeckungsobjekt zum Verdecken von Fugen und Übergängen,Verdeckungsobjekt,,Verdeckungsobjekt
N,NE,NEA,NEA,Verdeckungsobjekt zwischen einer Wand und Decke,Deckenverkleidung,,Verdeckungsobjekt zwischen einer Wand und Decke
N,NE,NEA,NEA,Verdeckungsobjekt zwischen einer Wand und Decke,Deckenverkleidung,,Deckenverkleidung
N,NE,NEB,NEB,Verdeckungsobjekt zwischen einer Wand und einem Boden,Fußleiste,Sockelleiste,Verdeckungsobjekt zwischen einer Wand und einem Boden
N,NE,NEB,NEB,Verdeckungsobjekt zwischen einer Wand und einem Boden,Fußleiste,Sockelleiste,Fußleiste
N,NE,NEB,NEB,Verdeckungsobjekt zwischen einer Wand und einem Boden,Fußleiste,Sockelleiste,Sockelleiste
N,NE,NEC,NEC,Verdeckungsobjekt zwischen zwei Wänden,Wandeckenverkleidung,,Wandeckenverkleidung
N,NE,NEC,NEC,Verdeckungsobjekt zwischen zwei Wänden,Wandeckenverkleidung,,Verdeckungsobjekt zwischen zwei Wänden
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Firstabdeckung,Verdeckungsobjekt auf einem Dach
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Firstabdeckung,Abdeckblech
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Firstabdeckung,Firstabdeckung
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Dachabdeckblech,Dachabdeckblech
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Traufe,Verdeckungsobjekt auf einem Dach
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Dachabdeckblech,Verdeckungsobjekt auf einem Dach
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Traufe,Traufe
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Traufe,Abdeckblech
N,NE,NED,NED,Verdeckungsobjekt auf einem Dach,Abdeckblech,Dachabdeckblech,Abdeckblech
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Muffe,Verdeckungsobjekt um eine Öffnung herum
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Architrav,Architrav
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Muffe,Auskleidung
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Architrav,Verdeckungsobjekt um eine Öffnung herum
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Architrav,Auskleidung
N,NE,NEE,NEE,Verdeckungsobjekt um eine Öffnung herum,Auskleidung,Muffe,Muffe
P,,,P,Objekt zur Bereitstellung wahrnehmbarer Informationen,Präsentierobjekt,,Präsentierobjekt
P,,,P,Objekt zur Bereitstellung wahrnehmbarer Informationen,Präsentierobjekt,,Objekt zur Bereitstellung wahrnehmbarer Informationen
P,PF,,PF,Präsentierobjekt in sichtbarer Form diskreter Zustände,Sichtbare Zustandsanzeige,,Präsentierobjekt in sichtbarer Form diskreter Zustände
P,PF,,PF,Präsentierobjekt in sichtbarer Form diskreter Zustände,Sichtbare Zustandsanzeige,,Sichtbare Zustandsanzeige
P,PF,PFA,PFA,Sichtbare Zustandsanzeige unter Verwendung von Licht,Signallampe,Verkehrslichtzeichen,Sichtbare Zustandsanzeige unter Verwendung von Licht
P,PF,PFA,PFA,Sichtbare Zustandsanzeige unter Verwendung von Licht,Signallampe,Verkehrslichtzeichen,Signallampe
P,PF,PFA,PFA,Sichtbare Zustandsanzeige unter Verwendung von Licht,Signallampe,Verkehrslichtzeichen,Verkehrslichtzeichen
P,PF,PFB,PFB,Sichtbare Zustandsanzeige unter Verwendung mechanischer Positionen,Stellungsanzeiger,,Sichtbare Zustandsanzeige unter Verwendung mechanischer Positionen
P,PF,PFB,PFB,Sichtbare Zustandsanzeige unter Verwendung mechanischer Positionen,Stellungsanzeiger,,Stellungsanzeiger
P,PG,,PG,Präsentierobjekt in sichtbarer Form einer einzelnen Skalarvariablen,Skalaranzeige,,Präsentierobjekt in sichtbarer Form einer einzelnen Skalarvariablen
P,PG,,PG,Präsentierobjekt in sichtbarer Form einer einzelnen Skalarvariablen,Skalaranzeige,,Skalaranzeige
P,PG,PGA,PGA,Skalaranzeige zur Anzeige elektrischer Spannung,Spannungsmessinstrument,,Skalaranzeige zur Anzeige elektrischer Spannung
P,PG,PGA,PGA,Skalaranzeige zur Anzeige elektrischer Spannung,Spannungsmessinstrument,,Spannungsmessinstrument
P,PG,PGB,PGB,Skalaranzeige zur Anzeige von Widerstand oder Leitfähigkeit,Widerstandsanzeige,,Widerstandsanzeige
P,PG,PGB,PGB,Skalaranzeige zur Anzeige von Widerstand oder Leitfähigkeit,Widerstandsanzeige,,Skalaranzeige zur Anzeige von Widerstand oder Leitfähigkeit
P,PG,PGC,PGC,Skalaranzeige zur Anzeige von Strom,Amperemeter,,Skalaranzeige zur Anzeige von Strom
P,PG,PGC,PGC,Skalaranzeige zur Anzeige von Strom,Amperemeter,,Amperemeter
P,PG,PGD,PGD,Skalaranzeige zur Anzeige von Dichte,Dichteanzeige,,Skalaranzeige zur Anzeige von Dichte
P,PG,PGD,PGD,Skalaranzeige zur Anzeige von Dichte,Dichteanzeige,,Dichteanzeige
P,PG,PGE,PGE,Skalaranzeige zur Anzeige eines Felds,Feldanzeige,,Skalaranzeige zur Anzeige eines Felds
P,PG,PGE,PGE,Skalaranzeige zur Anzeige eines Felds,Feldanzeige,,Feldanzeige
P,PG,PGF,PGF,Skalaranzeige zur Anzeige von Durchfluss,Durchflussmesser,,Skalaranzeige zur Anzeige von Durchfluss
P,PG,PGF,PGF,Skalaranzeige zur Anzeige von Durchfluss,Durchflussmesser,,Durchflussmesser
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Winkelanzeige,Dimensionsanzeige
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Positionsanzeige,Positionsanzeige
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Positionsanzeige,Dimensionsanzeige
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Winkelanzeige,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Winkelanzeige,Winkelanzeige
P,PG,PGG,PGG,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position,Dimensionsanzeige,Positionsanzeige,Skalaranzeige zur Anzeige einer räumlichen Dimension und/oder Position
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Wattstundenzähler,Skalaranzeige zur Anzeige von Energie
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Wattstundenzähler,Energiezähler
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Wattstundenzähler,Wattstundenzähler
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Blindverbrauchszähler,Skalaranzeige zur Anzeige von Energie
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Blindverbrauchszähler,Energiezähler
P,PG,PGH,PGH,Skalaranzeige zur Anzeige von Energie,Energiezähler,Blindverbrauchszähler,Blindverbrauchszähler
