Kennzeichen,Beispiele
PGF,Skalaranzeige zur Anzeige von Durchfluss
PGG,Winkelanzeige
PGG,Positionsanzeige
PGH,Wattstundenzähler
PGH,Blindverbrauchszähler
PGJ,Blindleistungsmessgerät
PGK,Uhr
PGK,Skalaranzeige zur Anzeige von Zeit
PGL,Sichtglas
PGM,Hygrometer
PGP,Barometer
PGP,Manometer
PGQ,Skalaranzeige zur Anzeige von Substanzkonzentration
PGQ,Konzentrationsanzeige
PGR,Skalaranzeige zur Anzeige von Strahlung
PGR,Elektromagnetwellenanzeige
PGS,Skalaranzeige zur Anzeige eines Zeitbereichs
PGS,Frequenzmessgerät
PGT,Skalaranzeige zur Anzeige von Temperatur
PGT,Temperaturanzeige
PGV,Skalaranzeige zur Anzeige des Unterschieds zwischen Wirkleistung und Blindleistung
PGV,Cos-phi-Meter
PGW,"Skalaranzeige zur Anzeige von Gewicht, Kraft oder Drehmoment"
PGW,Kraftanzeige
PGX,Audiospektrometer
PGX,Skalaranzeige zur Anzeige von Schall
PGZ,Skalaranzeige zur Anzeige der Anzahl an Ereignissen
PGZ,Mengenmessgerät
PH,Projektor
PH,Referenzpunkt
PH,Whiteboard
PH,Tafel
PH,Bildschirm
PH,Zeichnung
PH,Markierungsstelle
PH,Drucker
PH,Verkehrszeichen
PH,Schild
PHA,Whiteboard
PHA,Bildschirm
PHA,Tafel
PHB,Projektor
PHB,Grafische Anzeige mit an einem anderen Ort dargestellter dynamischer Oberfläche
PHC,Drucker
PHC,Grafische Anzeige auf gedruckten Medien
PHD,Verkehrszeichen
PHE,Grafische Anzeige in statischer Form auf der Oberfläche eines anderen Objekts
PHE,Kennzeichnung
PHF,Referenzpunkt
PJ,Hupe
PJ,Glocke
PJ,Lautsprecher
PJA,Lautsprecher
PJA,Akustisches Gerät unter Verwendung der Bewegung einer Membran
PJB,Hupe
PJB,Akustisches Gerät unter Verwendung eines Luftstroms
PJC,Klingel
PJC,Akustisches Gerät unter Verwendung von mechanischer Anregung des Objekts
PK,Rüttler
PK,Warnung zu lichter Höhe
PK,Straßenrillen
PK,Braille-Zeichen
PKA,Taktiles Gerät für diskrete Zustände durch Vibration
PKA,Vibrator
PKB,Straßenrillen
PKC,Taktiles Gerät für überlagernde Hindernisse
PKC,Warnung vor lichter Höhe
PL,Pilaster
PL,Stuck
PL,Figur
PL,Sims
PL,Fries
PL,Bild
PL,Teppich
PLA,Sims
PLA,Ornamentobjekt als Trennung zwischen zwei Bereichen
PLB,Ornamentobjekt als räumliche Darstellung von etwas
PLB,Figur
PLC,Stuck
PLC,Pilaster
PLD,"Ornamentobjekt zur Darstellung, Illustrierung oder Reproduktion eines sichtbaren Objekts auf einer Oberfläche"
PLD,Bild
PLE,Teppich
PLE,"Ornamentobjekt in Form eines Stoffs, mit dem ein Teil eines anderen Objekts abgedeckt wird"
PZ,Audiovisueller Alarm
PZ,Fernsehgerät
PZA,Audiovisueller Alarm
PZA,Mehrfachpräsentierobjekt für diskrete Zustände
PZB,Fernsehgerät
PZB,Mehrfachpräsentierobjekt für mehrere Informatonen
Q,Objekt zur Steuerung von Zugang oder Durchfluss
Q,Steuerobjekt
QA,Thyristor
QA,Solid-State-Leistungs-transistor
QA,Motoranlasser
QA,Defibrillator
QA,Leistungsschalter
QA,Schütz
QA,elektronischer Leistungsschalter
QA,Röhrenleistungstransistor
QAA,Motoranlasser
QAB,Motoranlasser
QAC,Röhrenleistungstransistor
QAC,Defibrillator
QAC,Motoranlasser
QAC,Solid-State-Leistungstransistor
QAC,Thyristor
QB,Sicherungslasttrennschalter
QB,sicherungsloser Trennschalter
QB,gesicherter Trenn-schalter
QB,Sicherungstrennschalter
QB,Trennschalter
QB,Lasttrennschalter
QBA,Lasttrennschalter
QBA,Trennschalter
QBB,Sicherungstrennschalter
QBB,Trenn-sicherung
QC,Erdungsschalter
QCA,Elektrisches Erdungsobjekt zum Anschluss von elektrischen Kreisen an Masse
QCA,Erdungsschalter
QM,Stopfen
QM,Ein-Aus-Klappe
QM,Flüssigkeitsab-sperrventil
QM,Gassperrventil
QM,Wasserhahn
QM,Ablaufhahn
QMA,Absperrhahn
QMA,Hahn
QMA,Stopfen
QMB,Stopfen
QMB,Ein-Aus-Klappe
QN,Regelklappe
QN,Gasregelventil
QN,Flüssigkeitsregelventil
QNA,Variierobjekt für eingeschlossene Flüssigkeiten in Flüssigkeitsströmen
QNA,Flüssigkeitssteuerventil
QNB,Steuerklappe
QP,Wirbelerzeuger
QP,Grenzschichtzaun Tragflügel
QP,Ruder
QP,Stopfen
QP,Stringer
QP,Flüssigkeitsdurchgang
QP,Schleusentor
QP,Dammplatte
QP,Turbulator
QPA,Dammplatte
QPA,Flüssigkeits-durchgang
QPB,Stringer
QPB,Grenzschichtzaun Trag-flügel
QPB,Turbulator
QPB,Wirbelerzeuger
QPC,Steuerobjekt für offenen Fluss zum Leiten eines Flusses durch ein veränderliches Mittel
QPC,Ruder
QQ,Luke
QQ,Notluke
QQ,Tor
QQ,große Tür
QQ,Riegel zum Öffnen
QQ,Vorlegerblock
QQ,Fenster
QQ,Fenstereinheit
QQ,Tür
QQA,Fenster
QQA,Raumzugangsobjekt nur für Lichteintritt
QQB,Fenstereinheit
QQB,Raumzugangsobjekt für Eintritt von Licht und Personen
QQC,Raumzugangsobjekt zur Durchquerung durch Personen in aufrechter Position
QQC,Tür
QQD,Notluke
QQE,Raumzugangsobjekt von erweiterter Größe zur Übertragung von Objekten
QQE,Große Tür
QQF,Riegel zum Öffnen
QQG,Raumzugangsobjekt zum Blockieren des Zugangs zu einem Gleis
QQG,Vorlegerblock
QR,Klappenventil
QR,Dosierer
QR,Irisventil
QR,Luftschleusen-Drehventil
QRA,Dosierer
QRB,Dosierer
QRC,Dosierer
QS,Schloss
QS,Schienenweiche
QS,Eisenbahnweiche
QS,Verriegelung
QSA,Verriegelungsgerät
QSB,Eisenbahnweiche
QZ,Erdungs- und Trennschalter
QZA,Steuerobjekt mit mehreren Maßnahmen zum Erden oder Trennen von elektrischen Stromkreisen
QZA,Erdungs- und Trennschalter
R,Objekt zum Begrenzen oder Stabilisieren
R,Begrenzungsobjekt
RA,Diode
RA,Begrenzer
RA,Reaktor
RA,Widerstand
RA,Serienreaktor
RAA,Diode
RAA,Elektrizitätsbegrenzungsobjekt zum Blockieren des Stromflusses in eine Richtung
RAB,Reihendrosselspule
RAB,Begrenzer
RAC,Widerstand
RAC,Elektrizitätsbegrenzungsobjekt zum Erzeugen von Widerstand in einem Stromkreis
RB,Spannungskom-pensator
RB,Phasenkompensator
RB,Leistungsfilter
RB,USV
RB,Leistungsfaktorkorrektureinheit
RB,Leistungsfaktorkor-rektursystem
RB,Leistungausgleicher
RB,unterbrechungsfreie Stromversorgung
RBA,USV
RBB,Leistungsfilter
RBB,Elektrizitätsstabilisierungsobjekt zum Unterdrücken eines definierten Frequenzbereichs innerhalb eines Stromflusses
RBC,Leistungsfaktorkorrektursystem
RBC,Leistungsfaktorkorrektureinheit
RBC,Spannungskompensator
RBD,Leistungsausgleicher
RBD,Elektrizitätsstabilisierungsobjekt zum Unterdrücken oder Verstärken mehrerer Frequenzbereiche innerhalb eines Stromflusses
RF,Ferrit
RF,Signalausgleicher
RF,Signalfilter
RFA,Signalausgleicher
RFA,Signalstabilisierungsobjekt zum Unterdrücken oder Verstärken mehrerer Frequenzbereiche des Signals
RFB,Ferrit
RL,Türkette
RL,Bremse
RL,Ankerschiene
RL,Gummitülle
RL,Stoßdämpfer
RL,Bodenschwelle
RL,Sicherheitskette
RLA,Ankerschiene
RLA,Türkette
RLB,Gummitülle
RLC,Bewegungsbegrenzungsobjekt zum Reduzieren der Geschwindigkeit oder zum Stoppen eines anderen Objekts
RLC,Bremse
RLD,Bewegungsbegrenzungsobjekt zum Verhindern von hohen Geschwindigkeiten eines anderen Objekts
RLD,Bodenschwelle
RM,Klappe
RM,Rückschlagventil
RM,Geruchsverschluss
RM,Drosselklappe
RMA,Rückschlagventil
RMA,Rückflussbegrenzungsobjekt für Flüssigkeiten
RMB,Klappe
RMB,Rückflussbegrenzungsobjekt für Gase
RMC,Rückflussbegrenzungsobjekt für Feststoffe
RMC,Klappe
RMD,Rückflussbegrenzungsobjekt für Gerüche
RMD,Geruchsverschluss
RN,Duschkopf
RN,Absperr-hahn
RN,feste Düse
RN,Messblende
RN,Regelklappe
RN,Lufteinlass
RN,Regelventil
RN,Dusche
RN,Diffusor
RN,Regelventil für Feststoffe
RN,Lüftungseinlass
RN,Lüftungsauslass
RN,Einstellbare Düse
RN,Luftauslass
RNA,Duschkopf
RNA,Dusche
RNA,Absperrhahn
RNB,Lüfterauslass
RNB,Lüftereinlass
RNB,Lufteinlass
RNB,einstellbare Düse
RNB,Luftauslass
RNC,Durchflussbegrenzer für Feststoffe durch einstellbare Mittel
RNC,Regelventil für Feststoffe
RND,Messblende
RND,Duschkopf
RND,Dusche
RND,feste Düse
RQ,Unkrautbekämpfungsvlies
RQ,Schallwand
RQ,Blende
RQ,Sichtschutz-wand
RQ,Ausmauerung
RQ,Vorhang
RQ,Jalousien
RQ,Membran
RQ,Rollladen
RQ,Lärmschutzwand
RQ,Lärmschutz
RQ,Klimamembran
RQ,Isolierung
RQA,Ausmauerung
RQB,Klimamembran
RQC,Schallwand
RQC,Lärmschutz
RQD,Blende
RQD,"Lokales Klimastabilisierungsobjekt zum Beschränken von Wind, Niederschlag oder Strahlung"
RQE,Vorhang
RQE,Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe von Textilien
RQF,"Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe von eng aneinanderliegenden, einstellbaren Jalousien"
RQF,Jalousie
RQG,Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe einer externen Abdeckung
RQG,Fensterläden
RQH,Lokales Klimastabilisierungsobjekt zum Verhindern von Unkrautwuchs
RQH,Unkrautbekämpfungsvlies
RQJ,Sichtschutzwand
RQJ,Lokales Klimastabilisierungsobjekt zum Beschränken von Sicht und Schall
RU,Riegel
RU,Vogelnetz
RU,Absperrpfosten
RU,Zutrittsverwaltungsgerät
RU,Zaun
RU,Einwege-Tür
RU,Nagerschutz
RU,Rattenschutz-gerät
RU,Torvorrichtung
RU,Ticket-Durchgang
RU,Viehschutz
RUA,Zaun
RUA,"Zutrittsbegrenzungsobjekt mit horizontaler, länglichen Barriere mit vertikaler Ausdehnung"
RUB,Schranke
RUC,Ticket-Durchgang
RUC,Torvorrichtung
RUC,Einwege-Tür
RUC,Zutrittsverwaltungsgerät
RUD,Absperrpfosten
RUD,Zutrittsbegrenzungsobjekt mit Barriere mit beschränkter horizontaler und vertikaler Ausdehnung
RUE,Viehschutz
RUE,Rattenschutzgerät
RUF,Zutrittsbegrenzungsobjekt in Form eines Netzes
RUF,Vogelnetz
S,Objekt zum Erkennen einer menschlichen Handlung und Bereitstellung einer entsprechenden Reaktion
S,Objekt zur menschlichen Interaktion
SF,Augenfokus-Lesegerät
SF,Augenbetätigung für Positionierungsvorgänge
SFA,Augenbetätigung für Positionierungsvorgänge
SFB,Gesichtinteraktionsgerät zur Gesichtserkennung
SFB,Gesichtserkennungsgerät
SG,Hebelgriff
SG,mechanischer Hebel
SG,Potentiometer
SG,Zughebel
SG,Druckhebel
SG,Drehschalter
SG,Drehhebel
SG,Zweihandsteuerung
SG,Schlüssel
SG,Schlüsselschalter
SG,Notfall-knopf
SG,Aktivierungsgerät mit 2 oder 3 Stellungen
SG,Notseilzug
SG,Handgriff
SGA,Drehschalter
SGA,Potentiometer
SGB,Aktivierungsgerät mit 2 oder 3 Stellungen
SGB,Zweihandsteuerung
SGC,Notfallknopf
SGC,Zweihandsteuerung
SGD,Handinteraktionsgerät zur Hebelbetätigung
SGD,Hebelstange
SGE,mechanischer Hebel
SGE,Notseilzug
SGF,Schlüsselschalter
SH,Aktivierungsgerät mit 2 oder 3 Stellungen
SH,Pedalschalter
SHA,Aktivierungsgerät mit 2 oder 3 Stellungen
SJ,Schalter mit zwei Stellungen
SJ,Kippschalter
SJ,Niederhalter
SJ,Tasta-tur
SJ,Druckschalter
SJ,Druckbetätiger
SJ,Drehrad
SJ,Druckknopf
SJ,Touchpad
SJA,Schalter mit zwei Stellungen
SJB,Druckschalter
SJB,Tastatur
SJB,Niederhalter
SJC,Schalter mit zwei Stellungen
SJC,Touchpad
SJD,Fingerinteraktionsgerät mit Drehrad zum Drehen nach vorn oder hinten
SJD,Drehrad
SK,Lichtstift
SK,Maus
SK,Joystick
SK,Kugelmaus
SKA,Kugelmaus
SKB,Lichtstift
SZ,Gamepad
SZ,Bedienfeld
SZ,Joypad
SZ,Gamecontroller
SZA,Joypad
SZA,Gamecontroller
SZA,Gamepad
T,Objekt zum Transformieren
T,Transformierobjekt
TA,Frequenzwandler
TA,Transformator
TA,Kraftantrieb
TA,Phasenschieber
TA,Trenn-transformator
TA,Gleichstrom/Gleichstrom-Wandler
TAA,Trenntransformator
TAB,Stromtransformierendes Objekt zum Wechsel von Gleichstrom zu Gleichstrom
TAB,Gleichspannungswandler
TAC,Kraftantrieb
TAD,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom mit Veränderung des Winkels zwischen Spannungen und Strömen
TAD,Phasenschieber
TB,Bidirektionaler Wandler
TB,Wandler
TB,Stromversorgung
TB,Strom-richter
TBA,Stromversorgung
TBB,Stromversorgung
TBC,Stromkonvertierungsobjekt zum Konvertieren von Wechsel- zu Gleichstrom oder von Gleichstrom zu Wechselstrom
TBC,Doppeltgerichteter Konverter
TC,universelle Gleichstromversorgung
TC,Stromversorgung
TC,universelle Wechselstromversorgung
TCA,Stromversorgung
TCB,Stromversorgung
TF,RF-Signalantenne
TF,Umformer
TF,Signalwandler
TF,Telefon
TF,Signal-antenne
TF,Optokoppler
TF,Oszillator
TF,Antenne
TF,Verstärker
TF,Handy
TF,induktive Signalantenne
TF,optischer Empfänger/Messwertgeber
TF,Mobiltelefon
TF,IR-Sender
TF,IR-Diode
TFA,Verstärker
TFA,Signalkonvertierungsobjekt zum Beibehalten der Signalform
TFB,Funkantenne
TFB,induktive Signalantenne
TFB,IR-Diode
TFB,RF-Signal-antenne
TFB,Oszillator
TFB,IR-Sender
TFB,Antenne
TFC,Umformer
TFC,Optokoppler
TFD,Signalkonvertierungsobjekt zwischen einer elektrischen und optischen Form
TFD,Optischer Empfänger/Messwertgeber
TFE,Handy
TFE,Mobiltelefon
TFE,Telefon
TL,Regelkupplung
TL,Automatikgetriebe
TL,Drehmomentwandler
TL,Drehzahlwandler
TL,Hebel
TL,Getriebe
TL,Schaltgetriebe
TLA,Drehzahlwandler
TLA,Schaltgetriebe
TLA,Automatikgetriebe
TLA,Regelkupplung
TLB,Drehmomentwandler
TLB,Objekt zum Transformieren von mechanischer Energie zur Veränderung des Drehmoments
TLC,Hebel
TLC,Objekt zum Transformieren von mechanischer Energie zur Veränderung der Kraft
TM,Drehmaschine
TM,Bohrmaschine
TM,Bohrer
TM,Elektronenentladungs-Sägemaschine
TM,Ätzmaschine
TM,Gasschneidemaschine
TM,chemisches Eintauchgerät
TM,Schleifmaschine
TM,Stanzmaschine
TM,Säge
TM,chemisches Sprühgerät
TM,thermische Trennvorrichtung
TM,Plasmabogen-Schneidemaschine
TMA,Bohrer
TMA,Stanzmaschine
TMA,Säge
TMA,Drehmaschine
TMA,Schleifmaschine
TMB,Elektronenentladungs-Sägemaschine
TMB,Gasschneidemaschine
TMB,Plasmabogen-Schneidemaschine
TMC,chemisches Eintauchgerät
TMC,chemisches Sprühgerät
TP,Heißschmiedemaschine
TP,Bördelmaschine
TP,elektromagnetische Umformmaschine
TP,elektrohydraulische Umformmaschine
TP,Rändelmaschine
TP,Kaltschmiedemaschine
TP,Gewindeerzeugungsmaschine
TP,Rohrziehmaschine
TP,Explosionsumformmaschine
TP,Scherma-schine
TP,Blechwalze
TP,Verschließmaschine
TP,Drahtziehmaschine
TP,Extruder
TP,Schmiedemaschine
TP,Walzmaschine
TP,Biegemaschine
TPA,Warmschmiedemaschine
TPA,Kalteschmiedemaschine
TPB,Strangpresse
TPB,Materieumformungsobjekt zum Extrudieren
TPC,Rohrziehmaschine
TPD,Gewindeerzeugungsmaschine
TPD,Schermaschine
TPD,Blechwalze
TPD,Rändelmaschine
TPE,Verschließmaschine
TPE,Bördelmaschine
TPF,Explosionsumformmaschine
TPF,elektrohydraulische Umformmaschine
TR,Kraut
TR,Ranker
TR,Blume
TR,Gras
TR,Baum
TR,Gemüse-pflanze
TR,Busch
TR,Strauch
TRA,Pflanze mit einem einzelnen hölzernen Stamm
TRA,Baum
TRB,Busch
TRC,Ranker
TRC,Pflanze mit langen Trieben und Kletterorganen
TRD,Blume
TRD,Gras
TRD,Gemüsepflanze
U,Halteobjekt
U,Objekt zur Verortung anderer Objekte
UA,Flansch
UA,Isolator
UA,Backe
UA,Drehfutter
UA,Leuchte
UA,Leuchtkörper
UA,Spalier
UA,Schienenmessgerät
UA,Einsatz
UA,Treppenbalken
UA,Spur-messgerät
UA,Gitter
UA,Anschlag
UA,Balken
UA,Spannfutter
UA,Klemme
UA,Latte
UA,Fahrradständer
UA,Fahrzeugständer
UA,Kabeleingang
UA,Kabelzugang
UA,Kabel-führung
UAA,Positionierobjekt für Leiter
UAA,Isolator
UAB,Kabelzugang
UAB,Kabeleingang
UAC,Leuchte
UAD,Flansch
UAE,Latte
UAE,Positionierobjekt für Abdeckungen
UAF,Gitter
UAF,Spalier
UAG,Spurmessgerät
UAH,Spannfutter
UAH,Drehfutter
UAH,Backe
UAH,Anschlag
UAJ,Fahrradständer
UB,Gurt
UB,Tritt
UB,Tisch
UB,Halteklammer
UB,Fernleitungsmast
UB,Stufe
UB,Mast
UB,Pfosten
UB,Portal
UB,Stange
UB,Plattform
UB,Aufhängevorrichtung
UB,Gerätestützstruktur
UB,Leitungsmast
UB,Kabelrohr
UB,Kabelführung
UB,Laufsteg
UB,Kabeltrasse
UB,Kabelgestell
UB,Kabelleiter
UB,Kabelkanal
UB,Sprosse
UB,Bügel
UB,Operationstisch
UBA,Kabeltrasse
UBA,Gerätestützstruktur
UBA,Kabelrohr
UBA,Kabelführung
UBA,Kabelpritsche
UBA,Kabelleiter
UBA,Kabelkanal
UBB,Seil
UBB,Aufhängebügel
UBB,Gurt
UBC,Sprosse
UBC,Stufe
UBD,Fernleitungsmast
UBD,Halteklammer
UBD,Pfosten
UBD,Leitungsmast
UBD,Stange
UBE,Laufsteg
UBE,Operationstisch
UBE,Plattform
UBF,Trageobjekt zwischen diskreten Positionen auf einer festgelegten Ebene
UBF,Portal
UC,Sensor-gehäuse
UC,Untergestell
UC,Server-Gestell
UC,Wartungskammer
UC,Schlauchtrommelkasten
UC,Sicherheitsschrank
UC,elektrische Schalttafel
UC,Schaltschrank
UC,Kabine
UC,Abzugshaube
UC,Schrank
UC,Pflanzenerde
UCA,elektrische Schalttafel
UCA,Wartungskammer
UCA,Server-Gestell
UCA,Schlauchtrommelkasten
UCA,Sensorgehäuse
UCA,elektrische Umhüllung
UCA,Untergestell
UCA,Schrank
UCA,Sicherheitsschrank
UCB,Pflanzenerde
UCB,Umschließobjekt für Pflanzenwurzeln
UCC,Sicherheitsschrank
UL,Fundamentsäule
UL,Fundamentblock
UL,Gegenwand
UL,Bodenplatte
UL,Dom
UL,Deck
UL,Widerlager
UL,Stützmauer
UL,Säule
UL,Druckelement
UL,Betonplatte
UL,Betonelement
UL,Konsole
UL,Kragstein
UL,Fundamentbalken
UL,Baluster
UL,Verbindungsschicht
UL,Gebäudefundament
UL,Rohblock
UL,Rohplatte
UL,Stein
UL,tragende Schale
UL,Strebe
UL,Auflagekeil
UL,Zugstrebe
UL,Zuganker
UL,Stützpfeiler
UL,Aggregatunterplatte
UL,Stützpfeiler
UL,Bogen
UL,Tragschicht
UL,Basisschicht
UL,Balken
UL,Trägerplatte
UL,Bilgenplatte
UL,Funda-mentplatte
UL,Block
UL,Ziegelstein
UL,Brückendeck
UL,Brücken-pylon
UL,Basismaterial
UL,Fundamentwand
UL,Erdanker
UL,Boden-verankerung
UL,Wandplatte
UL,Wand
UL,Spundwand
UL,Seil
UL,Felsanker
UL,Wandhalteplatte
UL,Gewölbe
UL,Sockel
UL,Platte
UL,Druckverteiler
UL,Pfeiler
UL,Pfahl
UL,Maschinenfundament
UL,tragende Wand
UL,Lamelle
UL,Rumpfplatte
UL,Lochdeck
UL,Rohrbrücke
UL,Schwergewichtsmauer
ULA,Verbindungsschicht
ULA,Basisschicht
ULA,Aggregatunterplatte
ULB,Kragstein
ULC,Gebäudefundament
ULC,Sockel
ULC,Brückendeck
ULD,Fundamentsäule
ULD,Pfeiler
ULD,Druckelement
ULD,Baluster
ULD,Strebe
ULE,Schwellbalken
ULF,Erdanker
ULF,Zuganker
ULF,Seil
ULF,Bodenanker
ULG,Stein
ULG,Maschinenfundament
ULG,Ziegelstein
ULG,Fundamentblock
ULH,Bogen
ULH,"Strukturstützobjekt in einer gebogenen linearen Form, die Biegemomenten standhält"
ULJ,Stützpfeiler
ULJ,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Druckkräften und Biegemomenten standhält"
ULK,Bodenplatte
ULK,Brett
ULK,Platte
ULK,Lochdeck
ULK,Brückendeck
ULK,Betonplatte
ULK,Grundplatte
ULK,Basismaterial
ULL,Stützmauer
ULL,Spundwand
ULL,Gravitationsmauer
ULM,Wand
ULM,tragende Wand
ULM,Betonelement
ULM,Gegenwand
ULM,Fundamentwand
ULN,tragende Schale
ULN,Schiffs-rumpfplatte
ULN,Bilgenplatte
ULN,Rumpfplatte
ULP,Lamelle
ULP,Dom
ULP,Rohrtunnel
ULP,Gewölbe
ULQ,Auflagekeil
ULQ,Platte
ULQ,Druckverteiler
ULR,"Strukturstützobjekt mit einer gebogenen linearen Form, die Zugkräften standhält"
ULR,Tragseil
UM,Betonauskleidung
UM,Betoneinspritzung
UM,Erdeinbettung
UM,Vertikaldrän
UM,Verstärkungsmaterial
UM,Sicherheitsschließblech
UM,verstärkte Masseschicht
UM,Spleißung
UM,Spleißplatte
UM,Stabilisierkabel
UM,Verstärkungspfeiler
UM,Versteifung
UM,Verstärkungsbalken
UM,Diagonal-verbindung
UM,Stahlverstärkungen
UM,Bür-gersteigverstärkung
UM,Kalksäule
UM,horizontale Schiene
UM,Betonspritzen
UM,Verstärkungs-matte
UMA,Verstärkungsbalken
UMA,Felsanker
UMB,Betonstahlnetz
UMC,Pflasterverstärkung
UMD,Betoneinspritzung
UMD,Kalksäule
UME,Verstärkungsobjekt in Form einer Verschlussklappe
UME,Sicherheitsschließblech
UMF,Spleißplatte
UMG,Verstärkungsobjekt zur vertikalen Dränage
UMG,Vertikaldrän
UMH,Betonspritzen
UMH,Verstärkungsobjekt in Form von Betonspritzen
UMJ,Verstärkungsobjekt in Form von Betonauskleidung
UMJ,Betonauskleidung
UMK,Rippe
UMK,Strebebogen
UMK,Widerlager
UMK,Stützpfeiler
UML,Verstärkungsobjekt in Form einer Diagonalverbindung
UML,Diagonalverbindung
UMM,Stabilisierungskabel
UMM,Verstärkungsobjekt in Form von Kabeln
UMN,Verstärkungsobjekt in Form einer horizontalen Schiene
UMN,Horizontalschiene
UMP,Erddruckwall
UMP,"Verstärkungsobjekt, mit dem aufgrund seines Gegengewichts Boden stabilisiert wird"
UN,Türschwelle
UN,Fensterrahmen
UN,Fensterscheibenrahmen
UN,Fenstersprossen-rahmen
UN,beweglicher Rahmen
UN,Fenstersprosse
UN,Türrahmen
UN,fester Rahmen
UNA,Türrahmen
UNA,Fensterrahmen
UNB,Türschwelle
UNB,Umrahmungsobjekt mit unterstem Teil der Türfläche
UNC,Fensterscheibenrahmen
UND,Fenstersprosse
UP,Lager
UP,Zement
UP,Strukturverbindung
UP,Schiebeelement
UP,Rollenlager
UP,Scharnier
UP,chemische Verbindung
UP,Kugellager
UPA,Kugellager
UPA,Rollenlager
UPA,Gleitlager
UPB,elastische Lagerung
UPB,Dehnungsfuge
UPB,Bewegungsfuge
UPC,Strukturverbindung
UPC,Zement
UQ,Mutter
UQ,chemische Bindung
UQ,Schienenbefestigung
UQ,Bolzen
UQ,Ankerplatte
UQ,Schraube
UQ,Niete
UQ,Dehnungsfuge
UQ,Bewegungsfuge
UQ,Befestigungsschelle
UQ,elastische Lagerung
UQ,Nagel
UQA,Niete
UQA,Nagel
UQA,Befestigungsschelle
UQB,Schraube
UQB,Schienenbefestigung
UQB,Mutter
UQB,Befestigungsschelle
UQC,Schweißnaht
UT,Unterbau
UT,Baugrube
UT,Füllen
UTA,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Hinzufügen von Material
UTA,Füllung
UTB,Unterbau
UU,Stein
UU,Bindiger Boden
UU,Füllmaterial
UU,Reibboden
UU,organischer Boden
UUA,Bestehender Boden aus Fels
UUA,Fels
UUB,Bestehender Boden aus Reiberde
UUB,Reiberde
UUC,Bindige Erde
UUC,Bestehender Boden aus bindiger Erde
UUD,Organische Erde
UUD,Bestehender Boden aus organischer Erde
UUE,Bestehender Boden aus eingefülltem Material
UUE,Eingefülltes Material
W,Objekt zum Leiten von einem Ort zu einem anderen
W,Leitobjekt
WB,Hochspannungsdraht
WB,Hochspannungs-Sammelschiene
WB,Hochspannungskabel
WB,Hochspannungsdurchführung
WBA,Hochspannungsenergieleitobjekt mit Sammelschiene
WBA,Hochspannungssammelschiene
WBB,Hochspannungsenergieleitobjekt mit Kabel
WBB,Hochspannungskabel
WBC,Hochspannungsenergieleitobjekt mit Draht
WBC,Hochspannungsdraht
WBD,"Hochspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere"
WBD,Hochspannungsbuchse
WD,Niederspannungskabel
WD,Niederspannungs-Sammelschiene
WD,Niederspannungsdurch-führung
WD,Niederspannungsdraht
WDA,Niederspannungsenergieleitobjekt mit Sammelschiene
WDA,Niederspannungssammelschiene
WDB,Niederspannungsenergieleitobjekt mit Kabel
WDB,Niederspannungskabel
WDC,Niederspannungsdraht
WDC,Niederspannungsenergieleitobjekt mit Draht
WDD,"Niederspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere"
WDD,Niederspannungsdurchführung
WE,Erdungsschiene
WE,Potentialausgleichskabel
WE,Poten-tialausgleichsschiene
WE,Erdungskabel
WEA,Erdungsschiene
WEA,Referenzpotential-Leitobjekt für Erde mit Sammelschiene
WEB,Referenzpotential-Leitobjekt für Erde mit Kabel
WEB,Erdungskabel
WEC,Potentialausgleichsschiene
WEC,Referenzpotential-Leitobjekt mit Sammelschiene
WED,Referenzpotential-Leitobjekt mit Kabel
WED,Potentialausgleichskabel
WG,Steuerkabel
WG,Datenkabel
WG,Durchführung für elektrische Signale
WG,Datenbus
WGA,Elektrisches Signalleitobjekt zum Steuern und Messen
WGA,Steuerkabel
WGB,Datenbus
WGC,Elektrisches Signalleitobjekt durch ein Gehäuse oder eine Wand
WGC,Durchführung für elektrische Signale
WH,optischer Wellenleiter
WH,optisches Licht-wellenleiterkabel
WH,Spiegel
WH,Lichtreflektor
WH,Linse
WH,Glasfaserkabel
WH,optischer Lichtleiter
WHA,Faseroptisches Kabel
WHA,Lichtleitobjekt zur Signalübertragung
WHB,optischer Lichtleiter
WHB,optischer Wellenleiter
WHC,Linse
WHC,Lichtleitobjekt zur definierten Lichtbrechung
WHD,Lichtreflektor
WJ,Schallreflektor
WJA,Schallleitobjekt zur Reflexion
WJA,Schallreflektor
WL,Rinne
WL,Rohrkettenförderer
WL,Rollentisch
WL,geneigte Ebene
WLA,Feststoff-Leitobjekt zum Rollen
WLA,Rollentisch
WLB,geneigte Ebene
WLB,Rohrkettenförderer
WM,Regenrinne
WM,Radonschacht
